order_id,order_date,product_id,product_name,category,quantity,unit_price,cost_price,total_amount,gross_profit,refund_amount,order_status,country,channel
ORD-00056,2026-03-12,PROD-003,USB-C Charging Cable,Electronics,2,9.99,2.5,19.98,14.98,0.0,completed,NL,web
ORD-00057,2026-03-12,PROD-003,USB-C Charging Cable,Electronics,2,9.99,2.5,19.98,14.98,0.0,completed,NL,marketplace
ORD-00058,2026-03-12,PROD-003,USB-C Charging Cable,Electronics,1,9.99,2.5,9.99,7.49,0.0,completed,DE,mobile
ORD-00059,2026-03-12,PROD-003,USB-C Charging Cable,Electronics,1,9.99,2.5,9.99,7.49,0.0,completed,NL,web
ORD-00060,2026-03-12,PROD-003,USB-C Charging Cable,Electronics,2,9.99,2.5,19.98,14.98,0.0,completed,AT,marketplace
ORD-00061,2026-03-12,PROD-003,USB-C Charging Cable,Electronics,2,9.99,2.5,19.98,14.98,0.0,completed,AT,web
ORD-00062,2026-03-12,PROD-004,Laptop Stand,Electronics,2,34.99,14.0,69.98,41.98,0.0,completed,NL,mobile
ORD-00063,2026-03-12,PROD-005,Phone Case - Classic,Accessories,1,12.5,3.2,12.5,9.3,0.0,completed,BE,mobile
ORD-00064,2026-03-12,PROD-005,Phone Case - Classic,Accessories,2,12.5,3.2,25.0,18.6,0.0,completed,DE,web
ORD-00065,2026-03-12,PROD-005,Phone Case - Classic,Accessories,1,12.5,3.2,12.5,9.3,0.0,completed,FR,marketplace
ORD-00066,2026-03-12,PROD-005,Phone Case - Classic,Accessories,3,12.5,3.2,37.5,27.9,0.0,completed,DE,web
ORD-00067,2026-03-12,PROD-006,Phone Case - Premium,Accessories,1,24.99,8.0,24.99,16.99,0.0,completed,DE,marketplace
ORD-00068,2026-03-12,PROD-006,Phone Case - Premium,Accessories,3,24.99,8.0,74.97,50.97,0.0,completed,FR,marketplace
ORD-00069,2026-03-12,PROD-006,Phone Case - Premium,Accessories,1,24.99,8.0,24.99,16.99,0.0,completed,DE,marketplace
ORD-00070,2026-03-12,PROD-007,Leather Wallet,Accessories,2,39.99,15.0,79.98,49.98,0.0,completed,FR,web
ORD-00071,2026-03-12,PROD-007,Leather Wallet,Accessories,3,39.99,15.0,119.97,74.97,0.0,completed,DE,marketplace
ORD-00072,2026-03-12,PROD-008,Sunglasses - Aviator,Accessories,2,29.99,10.0,59.98,39.98,0.0,completed,DE,web
ORD-00073,2026-03-12,PROD-008,Sunglasses - Aviator,Accessories,1,29.99,10.0,29.99,19.99,0.0,completed,BE,web
ORD-00074,2026-03-12,PROD-009,Running Shoes - Pro,Footwear,5,89.0,35.0,445.0,270.0,0.0,completed,BE,web
ORD-00075,2026-03-12,PROD-009,Running Shoes - Pro,Footwear,4,89.0,35.0,356.0,216.0,0.0,completed,BE,web
ORD-00076,2026-03-12,PROD-009,Running Shoes - Pro,Footwear,1,89.0,35.0,89.0,54.0,0.0,completed,NL,web
ORD-00077,2026-03-12,PROD-010,Trail Hiking Boots,Footwear,1,119.0,48.0,119.0,71.0,0.0,completed,DE,mobile
ORD-00078,2026-03-12,PROD-011,Casual Sneakers,Footwear,1,59.99,22.0,59.99,37.99,0.0,completed,NL,mobile
ORD-00079,2026-03-12,PROD-012,Cotton T-Shirt,Clothing,2,19.99,6.0,39.98,27.98,0.0,completed,DE,marketplace
ORD-00080,2026-03-12,PROD-012,Cotton T-Shirt,Clothing,2,19.99,6.0,39.98,27.98,0.0,completed,DE,web
ORD-00081,2026-03-12,PROD-012,Cotton T-Shirt,Clothing,1,19.99,6.0,19.99,13.99,0.0,completed,DE,web
ORD-00082,2026-03-12,PROD-012,Cotton T-Shirt,Clothing,3,19.99,6.0,59.97,41.97,0.0,completed,BE,mobile
ORD-00083,2026-03-12,PROD-013,Slim Fit Jeans,Clothing,1,49.99,18.0,49.99,31.99,0.0,completed,AT,mobile
ORD-00084,2026-03-12,PROD-013,Slim Fit Jeans,Clothing,2,49.99,18.0,99.98,63.98,0.0,completed,AT,web
ORD-00085,2026-03-12,PROD-014,Hoodie - Oversized,Clothing,2,44.99,16.0,89.98,57.98,0.0,completed,DE,mobile
ORD-00086,2026-03-12,PROD-014,Hoodie - Oversized,Clothing,2,44.99,16.0,89.98,57.98,0.0,completed,FR,mobile
ORD-00087,2026-03-12,PROD-014,Hoodie - Oversized,Clothing,2,44.99,16.0,89.98,57.98,0.0,completed,DE,web
ORD-00088,2026-03-12,PROD-015,Winter Jacket,Clothing,2,129.0,52.0,258.0,154.0,0.0,completed,AT,mobile
ORD-00089,2026-03-12,PROD-016,Yoga Mat,Home,1,29.99,10.0,29.99,19.99,0.0,completed,NL,web
ORD-00090,2026-03-12,PROD-017,Stainless Water Bottle,Home,1,19.99,5.5,19.99,14.49,0.0,completed,DE,marketplace
ORD-00091,2026-03-12,PROD-017,Stainless Water Bottle,Home,1,19.99,5.5,19.99,14.49,0.0,completed,DE,marketplace
ORD-00092,2026-03-12,PROD-017,Stainless Water Bottle,Home,1,19.99,5.5,19.99,14.49,0.0,completed,NL,marketplace
ORD-00093,2026-03-12,PROD-017,Stainless Water Bottle,Home,1,19.99,5.5,19.99,14.49,0.0,completed,FR,mobile
ORD-00094,2026-03-12,PROD-018,Scented Candle Set,Home,2,24.99,8.0,49.98,33.98,0.0,completed,FR,mobile
ORD-00095,2026-03-12,PROD-018,Scented Candle Set,Home,1,24.99,8.0,24.99,16.99,0.0,completed,DE,mobile
ORD-00096,2026-03-12,PROD-019,Desk Organizer,Home,2,22.99,7.5,45.98,30.98,0.0,completed,DE,web
ORD-00097,2026-03-12,PROD-020,Backpack - Travel,Accessories,1,69.99,28.0,69.99,41.99,0.0,completed,DE,mobile
ORD-00098,2026-03-13,PROD-001,Wireless Headphones,Electronics,1,49.99,22.0,49.99,27.99,0.0,completed,AT,web
ORD-00099,2026-03-13,PROD-001,Wireless Headphones,Electronics,1,49.99,22.0,49.99,27.99,0.0,completed,CH,mobile
ORD-00100,2026-03-13,PROD-001,Wireless Headphones,Electronics,3,49.99,22.0,149.97,83.97,0.0,completed,DE,web
ORD-00101,2026-03-13,PROD-001,Wireless Headphones,Electronics,1,49.99,22.0,49.99,27.99,0.0,completed,FR,marketplace
ORD-00102,2026-03-13,PROD-001,Wireless Headphones,Electronics,1,49.99,22.0,49.99,27.99,0.0,completed,AT,mobile
ORD-00103,2026-03-13,PROD-002,Bluetooth Speaker,Electronics,1,79.99,35.0,79.99,0.0,79.99,cancelled,DE,mobile
ORD-00104,2026-03-13,PROD-002,Bluetooth Speaker,Electronics,1,79.99,35.0,79.99,44.99,0.0,completed,AT,web
ORD-00105,2026-03-13,PROD-003,USB-C Charging Cable,Electronics,1,9.99,2.5,9.99,7.49,0.0,completed,DE,mobile
ORD-00106,2026-03-13,PROD-003,USB-C Charging Cable,Electronics,1,9.99,2.5,9.99,7.49,0.0,completed,DE,web
ORD-00107,2026-03-13,PROD-003,USB-C Charging Cable,Electronics,1,9.99,2.5,9.99,7.49,0.0,completed,NL,web
ORD-00108,2026-03-13,PROD-003,USB-C Charging Cable,Electronics,2,9.99,2.5,19.98,14.98,0.0,completed,DE,web
ORD-00109,2026-03-13,PROD-003,USB-C Charging Cable,Electronics,1,9.99,2.5,9.99,7.49,0.0,completed,BE,web
ORD-00110,2026-03-13,PROD-003,USB-C Charging Cable,Electronics,2,9.99,2.5,19.98,14.98,0.0,completed,NL,mobile
ORD-00111,2026-03-13,PROD-004,Laptop Stand,Electronics,1,34.99,14.0,34.99,20.99,0.0,completed,DE,mobile
ORD-00112,2026-03-13,PROD-004,Laptop Stand,Electronics,1,34.99,14.0,34.99,20.99,0.0,completed,NL,mobile
ORD-00113,2026-03-13,PROD-005,Phone Case - Classic,Accessories,2,12.5,3.2,25.0,18.6,0.0,completed,FR,marketplace
ORD-00114,2026-03-13,PROD-005,Phone Case - Classic,Accessories,1,12.5,3.2,12.5,9.3,12.5,refunded,DE,mobile
ORD-00115,2026-03-13,PROD-005,Phone Case - Classic,Accessories,4,12.5,3.2,50.0,37.2,0.0,completed,NL,web
ORD-00116,2026-03-13,PROD-006,Phone Case - Premium,Accessories,1,24.99,8.0,24.99,16.99,0.0,completed,FR,mobile
ORD-00117,2026-03-13,PROD-006,Phone Case - Premium,Accessories,1,24.99,8.0,24.99,16.99,0.0,completed,FR,web
ORD-00118,2026-03-13,PROD-006,Phone Case - Premium,Accessories,1,24.99,8.0,24.99,16.99,0.0,completed,AT,web
ORD-00119,2026-03-13,PROD-007,Leather Wallet,Accessories,1,39.99,15.0,39.99,24.99,0.0,completed,CH,marketplace
ORD-00120,2026-03-13,PROD-007,Leather Wallet,Accessories,2,39.99,15.0,79.98,49.98,0.0,completed,NL,marketplace
ORD-00121,2026-03-13,PROD-008,Sunglasses - Aviator,Accessories,1,29.99,10.0,29.99,19.99,0.0,completed,AT,mobile
ORD-00122,2026-03-13,PROD-009,Running Shoes - Pro,Footwear,2,89.0,35.0,178.0,108.0,0.0,completed,FR,web
ORD-00123,2026-03-13,PROD-009,Running Shoes - Pro,Footwear,1,89.0,35.0,89.0,54.0,0.0,completed,DE,web
ORD-00124,2026-03-13,PROD-010,Trail Hiking Boots,Footwear,1,119.0,48.0,119.0,71.0,0.0,completed,DE,marketplace
ORD-00125,2026-03-13,PROD-010,Trail Hiking Boots,Footwear,2,119.0,48.0,238.0,142.0,0.0,completed,DE,marketplace
ORD-00126,2026-03-13,PROD-011,Casual Sneakers,Footwear,1,59.99,22.0,59.99,37.99,0.0,completed,NL,mobile
ORD-00127,2026-03-13,PROD-011,Casual Sneakers,Footwear,1,59.99,22.0,59.99,37.99,0.0,completed,DE,web
ORD-00128,2026-03-13,PROD-012,Cotton T-Shirt,Clothing,1,19.99,6.0,19.99,13.99,0.0,completed,AT,web
ORD-00129,2026-03-13,PROD-012,Cotton T-Shirt,Clothing,2,19.99,6.0,39.98,27.98,0.0,completed,NL,web
ORD-00130,2026-03-13,PROD-012,Cotton T-Shirt,Clothing,1,19.99,6.0,19.99,13.99,0.0,completed,DE,web
ORD-00131,2026-03-13,PROD-012,Cotton T-Shirt,Clothing,1,19.99,6.0,19.99,13.99,0.0,completed,DE,web
ORD-00132,2026-03-13,PROD-012,Cotton T-Shirt,Clothing,1,19.99,6.0,19.99,13.99,0.0,completed,BE,mobile
ORD-00133,2026-03-13,PROD-013,Slim Fit Jeans,Clothing,1,49.99,18.0,49.99,31.99,0.0,completed,DE,web
ORD-00134,2026-03-13,PROD-013,Slim Fit Jeans,Clothing,1,49.99,18.0,49.99,31.99,0.0,completed,BE,mobile
ORD-00135,2026-03-13,PROD-014,Hoodie - Oversized,Clothing,3,44.99,16.0,134.97,86.97,0.0,completed,FR,mobile
ORD-00136,2026-03-13,PROD-014,Hoodie - Oversized,Clothing,1,44.99,16.0,44.99,28.99,0.0,completed,DE,web
ORD-00137,2026-03-13,PROD-014,Hoodie - Oversized,Clothing,3,44.99,16.0,134.97,86.97,0.0,completed,FR,web
ORD-00138,2026-03-13,PROD-014,Hoodie - Oversized,Clothing,1,44.99,16.0,44.99,28.99,0.0,completed,DE,web
ORD-00139,2026-03-13,PROD-015,Winter Jacket,Clothing,5,129.0,52.0,645.0,385.0,0.0,completed,NL,mobile
ORD-00140,2026-03-13,PROD-016,Yoga Mat,Home,1,29.99,10.0,29.99,19.99,0.0,completed,AT,marketplace
ORD-00141,2026-03-13,PROD-016,Yoga Mat,Home,5,29.99,10.0,149.95,99.95,0.0,completed,CH,mobile
ORD-00142,2026-03-13,PROD-016,Yoga Mat,Home,2,29.99,10.0,59.98,39.98,0.0,completed,DE,web
ORD-00143,2026-03-13,PROD-017,Stainless Water Bottle,Home,1,19.99,5.5,19.99,14.49,0.0,completed,DE,web
ORD-00144,2026-03-13,PROD-017,Stainless Water Bottle,Home,1,19.99,5.5,19.99,14.49,0.0,completed,DE,mobile
ORD-00145,2026-03-13,PROD-017,Stainless Water Bottle,Home,2,19.99,5.5,39.98,28.98,0.0,completed,NL,marketplace
ORD-00146,2026-03-13,PROD-017,Stainless Water Bottle,Home,2,19.99,5.5,39.98,28.98,0.0,completed,NL,marketplace
ORD-00147,2026-03-13,PROD-018,Scented Candle Set,Home,2,24.99,8.0,49.98,33.98,0.0,completed,FR,web
ORD-00148,2026-03-13,PROD-019,Desk Organizer,Home,2,22.99,7.5,45.98,30.98,0.0,completed,DE,web
ORD-00149,2026-03-13,PROD-020,Backpack - Travel,Accessories,3,69.99,28.0,209.97,125.97,0.0,completed,AT,web
ORD-00150,2026-03-13,PROD-020,Backpack - Travel,Accessories,1,69.99,28.0,69.99,41.99,0.0,completed,DE,web
ORD-00151,2026-03-14,PROD-001,Wireless Headphones,Electronics,2,49.99,22.0,99.98,55.98,0.0,completed,BE,marketplace
ORD-00152,2026-03-14,PROD-001,Wireless Headphones,Electronics,2,49.99,22.0,99.98,55.98,0.0,completed,DE,mobile
ORD-00153,2026-03-14,PROD-001,Wireless Headphones,Electronics,1,49.99,22.0,49.99,27.99,0.0,completed,BE,web
ORD-00154,2026-03-14,PROD-002,Bluetooth Speaker,Electronics,1,79.99,35.0,79.99,44.99,0.0,completed,DE,web
ORD-00155,2026-03-14,PROD-002,Bluetooth Speaker,Electronics,2,79.99,35.0,159.98,89.98,0.0,completed,DE,mobile
ORD-00156,2026-03-14,PROD-002,Bluetooth Speaker,Electronics,1,79.99,35.0,79.99,44.99,0.0,completed,FR,mobile
ORD-00157,2026-03-14,PROD-003,USB-C Charging Cable,Electronics,1,9.99,2.5,9.99,7.49,0.0,completed,AT,mobile
ORD-00158,2026-03-14,PROD-003,USB-C Charging Cable,Electronics,5,9.99,2.5,49.95,37.45,0.0,completed,AT,web
ORD-00159,2026-03-14,PROD-003,USB-C Charging Cable,Electronics,1,9.99,2.5,9.99,7.49,0.0,completed,NL,mobile
ORD-00160,2026-03-14,PROD-003,USB-C Charging Cable,Electronics,2,9.99,2.5,19.98,14.98,0.0,completed,AT,marketplace
ORD-00161,2026-03-14,PROD-003,USB-C Charging Cable,Electronics,1,9.99,2.5,9.99,7.49,0.0,completed,DE,marketplace
ORD-00162,2026-03-14,PROD-003,USB-C Charging Cable,Electronics,2,9.99,2.5,19.98,14.98,0.0,completed,DE,mobile
ORD-00163,2026-03-14,PROD-004,Laptop Stand,Electronics,5,34.99,14.0,174.95,104.95,0.0,completed,AT,web
ORD-00164,2026-03-14,PROD-004,Laptop Stand,Electronics,2,34.99,14.0,69.98,41.98,0.0,completed,NL,mobile
ORD-00165,2026-03-14,PROD-005,Phone Case - Classic,Accessories,5,12.5,3.2,62.5,46.5,0.0,completed,CH,web
ORD-00166,2026-03-14,PROD-005,Phone Case - Classic,Accessories,3,12.5,3.2,37.5,27.9,0.0,completed,FR,marketplace
ORD-00167,2026-03-14,PROD-005,Phone Case - Classic,Accessories,1,12.5,3.2,12.5,9.3,0.0,completed,AT,marketplace
ORD-00168,2026-03-14,PROD-005,Phone Case - Classic,Accessories,1,12.5,3.2,12.5,9.3,0.0,completed,DE,web
ORD-00169,2026-03-14,PROD-006,Phone Case - Premium,Accessories,1,24.99,8.0,24.99,16.99,0.0,completed,AT,web
ORD-00170,2026-03-14,PROD-006,Phone Case - Premium,Accessories,1,24.99,8.0,24.99,16.99,0.0,completed,AT,web
ORD-00171,2026-03-14,PROD-006,Phone Case - Premium,Accessories,1,24.99,8.0,24.99,16.99,0.0,completed,CH,web
ORD-00172,2026-03-14,PROD-007,Leather Wallet,Accessories,2,39.99,15.0,79.98,49.98,0.0,completed,FR,web
ORD-00173,2026-03-14,PROD-007,Leather Wallet,Accessories,2,39.99,15.0,79.98,49.98,0.0,completed,BE,web
ORD-00174,2026-03-14,PROD-007,Leather Wallet,Accessories,1,39.99,15.0,39.99,24.99,0.0,completed,CH,marketplace
ORD-00175,2026-03-14,PROD-008,Sunglasses - Aviator,Accessories,1,29.99,10.0,29.99,19.99,0.0,completed,NL,web
ORD-00176,2026-03-14,PROD-008,Sunglasses - Aviator,Accessories,2,29.99,10.0,59.98,39.98,0.0,completed,AT,marketplace
ORD-00177,2026-03-14,PROD-008,Sunglasses - Aviator,Accessories,1,29.99,10.0,29.99,19.99,0.0,completed,CH,marketplace
ORD-00178,2026-03-14,PROD-008,Sunglasses - Aviator,Accessories,3,29.99,10.0,89.97,59.97,0.0,completed,DE,web
ORD-00179,2026-03-14,PROD-009,Running Shoes - Pro,Footwear,3,89.0,35.0,267.0,162.0,0.0,completed,DE,mobile
ORD-00180,2026-03-14,PROD-009,Running Shoes - Pro,Footwear,3,89.0,35.0,267.0,162.0,0.0,completed,NL,web
ORD-00181,2026-03-14,PROD-009,Running Shoes - Pro,Footwear,1,89.0,35.0,89.0,54.0,0.0,completed,FR,web
ORD-00182,2026-03-14,PROD-009,Running Shoes - Pro,Footwear,2,89.0,35.0,178.0,108.0,0.0,completed,DE,mobile
ORD-00183,2026-03-14,PROD-010,Trail Hiking Boots,Footwear,1,119.0,48.0,119.0,71.0,0.0,completed,CH,mobile
ORD-00184,2026-03-14,PROD-011,Casual Sneakers,Footwear,3,59.99,22.0,179.97,113.97,0.0,completed,DE,marketplace
ORD-00185,2026-03-14,PROD-011,Casual Sneakers,Footwear,1,59.99,22.0,59.99,37.99,0.0,completed,DE,web
ORD-00186,2026-03-14,PROD-011,Casual Sneakers,Footwear,1,59.99,22.0,59.99,37.99,0.0,completed,BE,mobile
ORD-00187,2026-03-14,PROD-012,Cotton T-Shirt,Clothing,1,19.99,6.0,19.99,13.99,0.0,completed,CH,web
ORD-00188,2026-03-14,PROD-012,Cotton T-Shirt,Clothing,1,19.99,6.0,19.99,13.99,0.0,completed,DE,web
ORD-00189,2026-03-14,PROD-012,Cotton T-Shirt,Clothing,1,19.99,6.0,19.99,13.99,0.0,completed,CH,mobile
ORD-00190,2026-03-14,PROD-012,Cotton T-Shirt,Clothing,5,19.99,6.0,99.95,69.95,0.0,completed,BE,mobile
ORD-00191,2026-03-14,PROD-013,Slim Fit Jeans,Clothing,2,49.99,18.0,99.98,63.98,0.0,completed,DE,mobile
ORD-00192,2026-03-14,PROD-013,Slim Fit Jeans,Clothing,1,49.99,18.0,49.99,31.99,0.0,completed,DE,mobile
ORD-00193,2026-03-14,PROD-013,Slim Fit Jeans,Clothing,2,49.99,18.0,99.98,63.98,0.0,completed,CH,mobile
ORD-00194,2026-03-14,PROD-014,Hoodie - Oversized,Clothing,2,44.99,16.0,89.98,57.98,0.0,completed,CH,marketplace
ORD-00195,2026-03-14,PROD-014,Hoodie - Oversized,Clothing,2,44.99,16.0,89.98,57.98,0.0,completed,AT,mobile
ORD-00196,2026-03-14,PROD-014,Hoodie - Oversized,Clothing,2,44.99,16.0,89.98,57.98,0.0,completed,DE,mobile
ORD-00197,2026-03-14,PROD-014,Hoodie - Oversized,Clothing,1,44.99,16.0,44.99,28.99,0.0,completed,AT,marketplace
ORD-00198,2026-03-14,PROD-015,Winter Jacket,Clothing,2,129.0,52.0,258.0,154.0,0.0,completed,FR,web
ORD-00199,2026-03-14,PROD-016,Yoga Mat,Home,1,29.99,10.0,29.99,19.99,0.0,completed,BE,web
ORD-00200,2026-03-14,PROD-016,Yoga Mat,Home,4,29.99,10.0,119.96,79.96,0.0,completed,NL,marketplace
ORD-00201,2026-03-14,PROD-016,Yoga Mat,Home,4,29.99,10.0,119.96,79.96,0.0,completed,DE,mobile
ORD-00202,2026-03-14,PROD-017,Stainless Water Bottle,Home,1,19.99,5.5,19.99,14.49,0.0,completed,NL,mobile
ORD-00203,2026-03-14,PROD-017,Stainless Water Bottle,Home,2,19.99,5.5,39.98,28.98,0.0,completed,DE,web
ORD-00204,2026-03-14,PROD-017,Stainless Water Bottle,Home,1,19.99,5.5,19.99,14.49,0.0,completed,CH,marketplace
ORD-00205,2026-03-14,PROD-018,Scented Candle Set,Home,2,24.99,8.0,49.98,33.98,0.0,completed,DE,web
ORD-00206,2026-03-14,PROD-018,Scented Candle Set,Home,1,24.99,8.0,24.99,16.99,0.0,completed,DE,web
ORD-00207,2026-03-14,PROD-020,Backpack - Travel,Accessories,2,69.99,28.0,139.98,83.98,0.0,completed,BE,web
ORD-00208,2026-03-15,PROD-001,Wireless Headphones,Electronics,1,49.99,22.0,49.99,27.99,0.0,completed,AT,web
ORD-00209,2026-03-15,PROD-001,Wireless Headphones,Electronics,4,49.99,22.0,199.96,111.96,0.0,completed,DE,web
ORD-00210,2026-03-15,PROD-001,Wireless Headphones,Electronics,4,49.99,22.0,199.96,111.96,0.0,completed,DE,mobile
